ID,Tier,Source Group,Source Name,Source Type,Scrape Target / Query,Seed Domain,Country / HQ Focus,Role Focus,Why Strong,Bangladesh Fit Rule,Required Accept Filter,Hard Reject Filter,Scrape Frequency,Notes / Compliance,Proof / Reference URL
S0011,Tier 1,Direct job board/API/RSS,We Work Remotely Programming,Category page,https://weworkremotely.com/categories/remote-programming-jobs,weworkremotely.com,Global / mixed,Programming,Large remote programming board.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://weworkremotely.com/categories/remote-programming-jobs
S0012,Tier 1,Direct job board/API/RSS,We Work Remotely Anywhere in World,Category/search page,https://weworkremotely.com/100-percent-remote-jobs,weworkremotely.com,Global / mixed,Engineering / Developer / IT,Anywhere in the world remote jobs page.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://weworkremotely.com/100-percent-remote-jobs
S0013,Tier 1,Direct job board/API/RSS,Remotive API,Public API,https://remotive.com/remote-jobs/api,remotive.com,Global / mixed,Engineering / Developer / IT,Public API for remote jobs with usage rules.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://remotive.com/remote-jobs/api
S0014,Tier 1,Direct job board/API/RSS,Remotive RSS,RSS feed,https://remotive.com/remote-jobs/rss-feed,remotive.com,Global / mixed,Engineering / Developer / IT,RSS feeds for remote jobs.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://remotive.com/remote-jobs/rss-feed
S0015,Tier 1,Direct job board/API/RSS,Remotive Software Development,Category page,https://remotive.com/remote-jobs/software-dev,remotive.com,Global / mixed,Software Development,Software category remote jobs.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://remotive.com/remote-jobs/software-dev
S0016,Tier 1,Direct job board/API/RSS,RemoteOK,Remote job board/API,https://remoteok.com/,remoteok.com,Global / mixed,Engineering / Developer / IT,Large remote-only board; filter hard for worldwide.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://remoteok.com/
S0017,Tier 1,Direct job board/API/RSS,RemoteOK Software Development,Category page,https://remoteok.com/remote-dev-jobs,remoteok.com,Global / mixed,Software Development,Dev-specific remote roles.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://remoteok.com/remote-dev-jobs
S0018,Tier 1,Direct job board/API/RSS,RemoteOK API/JSON,Public JSON endpoint,https://remoteok.com/api,remoteok.com,Global / mixed,Engineering / Developer / IT,Public JSON-style remote jobs endpoint used by many scrapers.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://remoteok.com/api
S0019,Tier 1,Direct job board/API/RSS,Working Nomads Anywhere,Anywhere jobs page,https://www.workingnomads.com/remote-anywhere-jobs,www.workingnomads.com,Global / mixed,Engineering / Developer / IT,Remote-anywhere job page.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://www.workingnomads.com/remote-anywhere-jobs
S0020,Tier 1,Direct job board/API/RSS,Working Nomads Development,Category page,https://www.workingnomads.com/jobs/development,www.workingnomads.com,Global / mixed,Development,Remote development jobs.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://www.workingnomads.com/jobs/development
S0021,Tier 1,Direct job board/API/RSS,Working Nomads Engineer,Category page,https://www.workingnomads.com/remote-engineer-jobs,www.workingnomads.com,Global / mixed,Engineering,Remote engineer jobs.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://www.workingnomads.com/remote-engineer-jobs
S0022,Tier 1,Direct job board/API/RSS,WeAreDistributed Jobs,Work-from-anywhere board,https://wearedistributed.org/jobs,wearedistributed.org,Global / mixed,Engineering / Developer / IT,Work-from-anywhere jobs from distributed companies.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://wearedistributed.org/jobs
S0023,Tier 1,Direct job board/API/RSS,WeAreDistributed Engineering,Engineering page,https://wearedistributed.org/jobs/engineering,wearedistributed.org,Global / mixed,Engineering,Engineering jobs with work-from-anywhere focus.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://wearedistributed.org/jobs/engineering
S0024,Tier 1,Direct job board/API/RSS,Remote Rocketship Worldwide Software Engineers,Company/job directory,https://www.remoterocketship.com/companies-hiring-worldwide/software-engineers/,www.remoterocketship.com,Global / mixed,Software Engineering,Companies hiring remote software engineers worldwide.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://www.remoterocketship.com/companies-hiring-worldwide/software-engineers/
S0025,Tier 1,Direct job board/API/RSS,NoDesk Remote Jobs,Remote job board,https://nodesk.co/remote-jobs/,nodesk.co,Global / mixed,Engineering / Developer / IT,Established remote job board; filter hard.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://nodesk.co/remote-jobs/
S0026,Tier 1,Direct job board/API/RSS,NoDesk Engineering,Category page,https://nodesk.co/remote-jobs/engineering/,nodesk.co,Global / mixed,Engineering,Engineering remote category.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://nodesk.co/remote-jobs/engineering/
S0027,Tier 1,Direct job board/API/RSS,Remote.co Programming,Category page,https://remote.co/remote-jobs/developer/,remote.co,Global / mixed,Developer,Developer remote category.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://remote.co/remote-jobs/developer/
S0028,Tier 1,Direct job board/API/RSS,Remote.co IT,Category page,https://remote.co/remote-jobs/it/,remote.co,Global / mixed,IT,IT remote category.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://remote.co/remote-jobs/it/
S0029,Tier 1,Direct job board/API/RSS,JustRemote Developer,Remote job board,https://justremote.co/remote-developer-jobs,justremote.co,Global / mixed,Developer,Developer remote jobs.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://justremote.co/remote-developer-jobs
S0030,Tier 1,Direct job board/API/RSS,FlexJobs Remote Engineering,Remote job board,https://www.flexjobs.com/remote-jobs/engineering,www.flexjobs.com,Global / mixed,Engineering,Paid/curated remote jobs; filter hard.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://www.flexjobs.com/remote-jobs/engineering
S0031,Tier 1,Direct job board/API/RSS,Authentic Jobs Remote,Job board,https://authenticjobs.com/#onlyremote=1,authenticjobs.com,Global / mixed,Developer / Design / Product,Older remote-friendly board; filter hard.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://authenticjobs.com/#onlyremote=1
S0032,Tier 1,Direct job board/API/RSS,Wellfound Remote Startups,Startup jobs,https://wellfound.com/discover/startups?location=remote-friendly,wellfound.com,Global / mixed,Startup engineering,Startup hiring source; must filter location restrictions.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://wellfound.com/discover/startups?location=remote-friendly
S0033,Tier 1,Direct job board/API/RSS,Y Combinator Work at Startup Remote,Startup jobs,https://www.ycombinator.com/jobs/role/software-engineer?remote=1,www.ycombinator.com,Global / mixed,Software Engineering,Startup engineering source; must filter by location.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://www.ycombinator.com/jobs/role/software-engineer?remote=1
S0034,Tier 1,Direct job board/API/RSS,Arc Remote Developer Jobs,Developer jobs,https://arc.dev/remote-jobs,arc.dev,Global / mixed,Software Development,Remote developer jobs; filter location/timezone.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://arc.dev/remote-jobs
S0035,Tier 1,Direct job board/API/RSS,Dynamite Jobs Remote Developer,Remote job board,https://dynamitejobs.com/remote-jobs/developer/,dynamitejobs.com,Global / mixed,Developer,Remote developer jobs; filter hard.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://dynamitejobs.com/remote-jobs/developer/
S0036,Tier 1,Direct job board/API/RSS,Pangian Remote Developer,Remote job board,https://pangian.com/jobs/remote-developer-jobs/,pangian.com,Global / mixed,Developer,Remote developer jobs; filter hard.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://pangian.com/jobs/remote-developer-jobs/
S0037,Tier 1,Direct job board/API/RSS,RemoteHub Remote Jobs,Remote job board,https://www.remotehub.com/jobs,www.remotehub.com,Global / mixed,Engineering / Developer / IT,Remote job listing source; filter hard.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://www.remotehub.com/jobs
S0038,Tier 1,Direct job board/API/RSS,Jobicy API/RSS,Public API/RSS,https://jobicy.com/jobs-rss-feed,jobicy.com,Global / mixed,Engineering / Developer / IT,Public API/RSS feeds.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://jobicy.com/jobs-rss-feed
S0039,Tier 1,Direct job board/API/RSS,Jobicy Software Development,Category/API search source,https://jobicy.com/remote-jobs/software-development,jobicy.com,Global / mixed,Software Development,Software category remote jobs.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://jobicy.com/remote-jobs/software-development
S0040,Tier 1,Direct job board/API/RSS,JobsCollider API/RSS,Public API/RSS,https://github.com/jobscollider/remote-jobs-api,github.com,Global / mixed,Engineering / Developer / IT,Remote jobs API/RSS with attribution rules.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://github.com/jobscollider/remote-jobs-api
S0041,Tier 1,Direct job board/API/RSS,JobsCollider Remote Jobs,Remote job board,https://jobscollider.com/remote-jobs,jobscollider.com,Global / mixed,Engineering / Developer / IT,Remote jobs board; filter hard.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://jobscollider.com/remote-jobs
S0042,Tier 1,Direct job board/API/RSS,WorkAnywhere.pro RSS,RSS feed hub,https://www.workanywhere.pro/rss,www.workanywhere.pro,Global / mixed,Engineering / Developer / IT,RSS feeds for curated remote jobs.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://www.workanywhere.pro/rss
S0043,Tier 1,Direct job board/API/RSS,Remote4Me Developer,Remote job board,https://remote4me.com/remote-developer-jobs,remote4me.com,Global / mixed,Developer,Remote developer jobs.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://remote4me.com/remote-developer-jobs
S0044,Tier 1,Direct job board/API/RSS,RemoteLeaf,Remote job alerts,https://remoteleaf.com/,remoteleaf.com,Global / mixed,Engineering / Developer / IT,Remote jobs aggregation; filter hard.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://remoteleaf.com/
